                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9754,                 4.1015,                 1.3313,                0.60058,                0.09813,                0.07775,                0.04309,                 1.5405,                 3.5173,                 1.0288,             0.00017272,             0.00017272,             0.00017272
                      1,                 1.8617,                 2.9278,                 1.2226,                0.53974,                 0.1825,                0.11256,                 0.0603,                 1.5247,                 3.1647,                 1.0723,              0.0003446,              0.0003446,              0.0003446
                      2,                 1.8522,                  2.583,                 1.2095,                0.47663,                0.30619,                0.23756,                0.13275,                  1.493,                 2.4435,                 1.0485,             0.00051302,             0.00051302,             0.00051302
                      3,                 1.8225,                 2.2734,                 1.2011,                0.52956,                0.27398,                0.23128,                0.13248,                 1.4261,                 2.2246,                 1.0446,             0.00051038,             0.00051038,             0.00051038
                      4,                 1.7721,                 2.1376,                 1.1857,                 0.5709,                0.33654,                0.30877,                0.17594,                 1.4815,                 2.1626,                 1.0613,             0.00051038,             0.00051038,             0.00051038
                      5,                 1.7182,                 2.0229,                 1.1795,                0.55076,                 0.3697,                0.30389,                0.18597,                 1.4119,                  2.149,                  1.019,             0.00050517,             0.00050517,             0.00050517
                      6,                 1.7301,                  1.968,                 1.1925,                0.57613,                0.39212,                0.33958,                 0.2032,                 1.3992,                 1.9249,                 1.0286,             0.00049996,             0.00049996,             0.00049996
                      7,                 1.6989,                 1.8675,                 1.1757,                0.70052,                0.38079,                0.37632,                0.22143,                 1.4176,                 2.0118,                 1.0332,             0.00049476,             0.00049476,             0.00049476
                      8,                 1.6874,                 1.8418,                 1.1767,                0.60803,                0.39504,                0.44014,                0.27878,                 1.3804,                 1.8532,                 1.0303,             0.00048955,             0.00048955,             0.00048955
                      9,                 1.6929,                 1.8632,                 1.2015,                0.71331,                0.39122,                0.48451,                0.31594,                 1.3519,                  1.686,                  1.017,             0.00048434,             0.00048434,             0.00048434
                     10,                 1.6584,                 1.7303,                 1.1839,                0.61114,                0.43406,                0.46245,                0.28429,                 1.3526,                 1.7864,                 1.0213,             0.00047913,             0.00047913,             0.00047913
                     11,                 1.6746,                 1.7241,                 1.1812,                0.52229,                0.47893,                0.47368,                0.30428,                 1.3543,                 1.6608,                 1.0078,             0.00047393,             0.00047393,             0.00047393
                     12,                 1.6457,                 1.6477,                 1.1849,                0.63312,                0.42904,                0.52385,                0.33718,                 1.2753,                 1.7461,                0.98991,             0.00046872,             0.00046872,             0.00046872
                     13,                 1.6468,                 1.6358,                 1.1724,                0.59643,                0.47613,                0.52352,                0.31772,                 1.4372,                 1.6621,                 1.0264,             0.00046351,             0.00046351,             0.00046351
                     14,                 1.6526,                  1.622,                 1.1833,                0.64414,                0.48197,                0.53519,                0.33312,                 1.3523,                 1.5248,                  1.018,              0.0004583,              0.0004583,              0.0004583
                     15,                 1.6161,                   1.53,                 1.1612,                0.66153,                0.47463,                0.56792,                0.35891,                  1.313,                 1.5059,                0.99955,              0.0004531,              0.0004531,              0.0004531
                     16,                 1.6256,                 1.5318,                 1.1742,                0.57782,                0.60724,                0.54662,                0.36183,                 1.2914,                 1.5643,                0.99542,             0.00044789,             0.00044789,             0.00044789
                     17,                  1.626,                 1.5612,                 1.1798,                0.68924,                0.39462,                0.51855,                0.33184,                 1.2965,                 1.5595,                0.99543,             0.00044268,             0.00044268,             0.00044268
                     18,                 1.5899,                 1.5132,                  1.159,                0.66003,                0.50096,                0.54957,                0.36246,                 1.2989,                 1.5402,                 1.0115,             0.00043747,             0.00043747,             0.00043747
                     19,                 1.5944,                 1.4573,                 1.1667,                0.53596,                0.64883,                0.51258,                0.33077,                 1.3174,                 1.6333,                0.99295,             0.00043227,             0.00043227,             0.00043227
                     20,                  1.599,                 1.4273,                 1.1622,                0.64425,                0.48682,                 0.5406,                0.35621,                 1.2914,                 1.5072,                0.99822,             0.00042706,             0.00042706,             0.00042706
                     21,                 1.6041,                 1.4217,                 1.1714,                0.62671,                0.53117,                0.56973,                0.37441,                 1.2919,                 1.4905,                 1.0003,             0.00042185,             0.00042185,             0.00042185
                     22,                 1.5735,                 1.3595,                 1.1522,                0.61315,                0.55618,                0.55098,                0.35357,                 1.3175,                  1.715,                  1.005,             0.00041664,             0.00041664,             0.00041664
                     23,                 1.5462,                 1.3613,                 1.1426,                0.64968,                0.57475,                0.59187,                0.38186,                 1.2884,                 1.4697,                0.99981,             0.00041144,             0.00041144,             0.00041144
                     24,                 1.5864,                 1.3716,                 1.1518,                0.68709,                0.50584,                0.54861,                0.35252,                 1.3462,                 1.5141,                 1.0068,             0.00040623,             0.00040623,             0.00040623
                     25,                 1.5554,                 1.3291,                 1.1508,                 0.6656,                0.57178,                0.60732,                0.42628,                 1.2741,                 1.4235,                0.99741,             0.00040102,             0.00040102,             0.00040102
                     26,                 1.5492,                 1.3039,                 1.1461,                0.57425,                0.59575,                0.60341,                0.40325,                 1.3011,                 1.4618,                 1.0056,             0.00039581,             0.00039581,             0.00039581
                     27,                 1.5718,                 1.2669,                 1.1524,                0.56819,                0.62922,                0.60136,                0.38708,                 1.3003,                 1.4509,                 1.0001,             0.00039061,             0.00039061,             0.00039061
                     28,                 1.5602,                 1.2692,                 1.1527,                0.74793,                0.56406,                0.64976,                0.43363,                 1.2841,                  1.319,                 1.0019,              0.0003854,              0.0003854,              0.0003854
                     29,                 1.5562,                 1.2642,                 1.1565,                0.62965,                0.57813,                0.60751,                0.40287,                 1.2731,                 1.3977,                0.99423,             0.00038019,             0.00038019,             0.00038019
                     30,                 1.5463,                 1.2313,                 1.1398,                0.52175,                0.61915,                0.61543,                0.40909,                 1.2753,                 1.4143,                0.99796,             0.00037499,             0.00037499,             0.00037499
                     31,                 1.5307,                 1.2246,                 1.1366,                0.50354,                0.67504,                0.60556,                0.38816,                 1.3095,                 1.3886,                 1.0067,             0.00036978,             0.00036978,             0.00036978
