                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.0332,                  3.069,                 1.1813,                0.66882,                0.77816,                0.78401,                0.40584,                 1.8135,                 1.3277,                 1.0436,              8.574e-05,              8.574e-05,              8.574e-05
                      1,                  1.564,                 1.5019,                 1.0418,                 0.7804,                 0.9759,                0.90946,                0.50571,                 1.6538,                 1.6106,                0.99954,             0.00017657,             0.00017657,             0.00017657
                      2,                 1.4746,                 1.3598,                 1.0126,                0.51739,                0.70351,                 0.5105,                0.29628,                 1.6412,                 2.8054,                 1.0245,             0.00025751,             0.00025751,             0.00025751
                      3,                 1.4281,                 1.1972,                0.97642,                0.83219,                0.82919,                0.90899,                0.54827,                  1.456,                 1.3325,                0.95318,             0.00032853,             0.00032853,             0.00032853
                      4,                 1.4446,                 1.2464,                0.99367,                0.55689,                0.84128,                0.80535,                0.40428,                 1.6464,                 2.3041,                 1.0296,             0.00038966,             0.00038966,             0.00038966
                      5,                 1.4519,                 1.1531,                0.99957,                0.60174,                0.85227,                0.71782,                 0.4009,                 1.5368,                 1.8156,                0.98417,             0.00044088,             0.00044088,             0.00044088
                      6,                 1.4128,                 1.0323,                0.97612,                0.80118,                0.80566,                0.87322,                0.45397,                 1.5653,                0.78429,                 0.9931,              0.0004822,              0.0004822,              0.0004822
                      7,                  1.401,                  1.009,                0.96175,                0.90415,                0.92404,                0.97057,                0.58914,                 1.4852,                0.75971,                0.95922,             0.00051362,             0.00051362,             0.00051362
                      8,                 1.3956,                0.95461,                0.97713,                0.81373,                0.95174,                0.96507,                  0.589,                 1.4948,                0.84805,                0.98893,             0.00053513,             0.00053513,             0.00053513
                      9,                 1.3286,                0.90889,                0.95988,                0.87706,                0.96988,                 0.9711,                0.60407,                 1.4045,                0.98081,                0.95928,             0.00054674,             0.00054674,             0.00054674
                     10,                  1.334,                 1.0221,                   1.01,                0.95726,                0.89078,                0.96682,                0.55625,                 1.5349,                0.75933,                  1.001,             0.00054845,             0.00054845,             0.00054845
                     11,                 1.3421,                 1.1451,                 1.0018,                0.95114,                0.83572,                0.93902,                0.57921,                 1.3837,                0.77496,                 0.9516,             0.00054025,             0.00054025,             0.00054025
                     12,                 1.3304,                0.96704,                0.97117,                0.94145,                0.89392,                 0.9525,                0.55719,                 1.4125,                 0.7334,                0.94331,             0.00052216,             0.00052216,             0.00052216
                     13,                 1.3224,                0.99253,                0.97997,                0.96721,                 0.8957,                0.97376,                0.58537,                 1.4232,                0.73661,                0.94526,             0.00049416,             0.00049416,             0.00049416
                     14,                 1.3079,                0.84321,                0.96982,                0.88183,                0.93976,                0.97334,                0.60209,                 1.4029,                0.72697,                0.94227,              0.0004387,              0.0004387,              0.0004387
                     15,                 1.2828,                0.80742,                0.97641,                0.84764,                0.92247,                0.95419,                0.60284,                 1.4743,                0.70974,                0.95907,              0.0004387,              0.0004387,              0.0004387
                     16,                  1.292,                0.82809,                0.96577,                0.81323,                0.98795,                0.96444,                0.61413,                 1.4208,                 0.7023,                0.95289,             0.00036797,             0.00036797,             0.00036797
                     17,                 1.2531,                0.78103,                0.96591,                0.88283,                0.94318,                0.98015,                0.61508,                 1.3921,                 0.6549,                0.94228,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.2798,                0.82985,                0.97429,                 0.9346,                0.92165,                0.97803,                0.59302,                 1.4288,                0.69668,                0.94547,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.2604,                0.80064,                0.97137,                0.92736,                0.88469,                0.95172,                 0.6155,                 1.3887,                0.65806,                0.93426,             0.00015576,             0.00015576,             0.00015576
