                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.7615,                 1.9807,                 1.3834,                0.49478,                0.62925,                0.48285,                0.23135,                 1.6963,                 2.1229,                 1.3933,             0.00025005,             0.00025005,             0.00025005
                      1,                 1.4458,                 1.4134,                 1.2076,                0.14795,                0.36486,                 0.1742,                0.09902,                 1.3597,                 12.243,                 1.1652,             0.00051165,             0.00051165,             0.00051165
                      2,                 1.5195,                 1.3192,                 1.2692,                0.45734,                 0.7759,                0.47487,                0.29617,                 1.3676,                 2.5411,                 1.2911,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.4487,                 1.1249,                 1.2138,                0.25773,                   0.75,                0.22997,                0.14056,                 1.6376,                 3.8545,                 1.4526,               0.001019,               0.001019,               0.001019
                      4,                 1.4084,                 1.1624,                 1.1853,                0.25773,                   0.75,                0.22997,                0.14056,                 4.7166,                   1887,                 34.705,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.4369,                  1.247,                 1.2281,                0.07547,                0.03378,                0.03585,                0.02269,                 2.0992,                 15.062,                 1.7921,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.4347,                 1.1647,                 1.2266,                0.01417,                0.05405,                0.00643,                0.00383,                 3.1301,                 6.8952,                 3.6141,               0.001568,               0.001568,               0.001568
                      7,                 1.4096,                 1.1358,                 1.2735,                0.00242,                0.04054,                0.00139,                0.00077,                 3.5433,                 24.153,                 5.1372,               0.001568,               0.001568,               0.001568
                      8,                 1.4201,                 1.3243,                 1.2423,                0.00242,                0.04054,                0.00139,                0.00077,                 3.8256,                 2387.9,                 36.719,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.4359,                 1.1811,                 1.2497,                0.69096,                0.05405,                 0.0414,                 0.0321,                 2.4946,                 6.6549,                 2.0989,               0.001535,               0.001535,               0.001535
                     10,                 1.4037,                 1.0872,                 1.2013,                0.01627,                0.08784,                0.00822,                0.00357,                 2.2813,                 4.2756,                   1.82,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.3866,                  1.033,                 1.1933,                 0.3977,                0.25225,                0.28319,                0.14234,                 1.9531,                  2.212,                 1.6007,               0.001502,               0.001502,               0.001502
                     12,                 1.4183,                 1.0281,                 1.1988,                0.84316,                0.52027,                0.62719,                0.38335,                 1.4754,                  1.551,                 1.3309,              0.0014855,              0.0014855,              0.0014855
                     13,                 1.3947,                 1.0016,                 1.2065,                0.60028,                0.53656,                0.62267,                0.40728,                 1.4216,                 1.2128,                 1.2967,               0.001469,               0.001469,               0.001469
                     14,                 1.3845,                 1.0092,                 1.1916,                0.48526,                0.85161,                0.56095,                0.36742,                 1.3219,                 1.2474,                 1.2547,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.3928,                 0.9245,                 1.2035,                0.66216,                0.42005,                0.47167,                0.26349,                 1.5464,                 1.4432,                 1.3643,               0.001436,               0.001436,               0.001436
                     16,                 1.3755,                0.97127,                 1.2471,                0.85048,                0.66744,                0.76653,                0.43575,                 1.4448,                  1.041,                 1.3087,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.4055,                0.94025,                 1.2139,                0.63235,                0.75901,                0.75761,                0.48456,                 1.3395,                0.97963,                 1.2587,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.3745,                0.92736,                 1.1876,                0.38911,                 0.5991,                0.48484,                0.28513,                 1.3782,                  1.168,                 1.2741,              0.0013864,              0.0013864,              0.0013864
                     19,                  1.414,                0.89314,                 1.1811,                0.80368,                0.61753,                0.76827,                0.45399,                 1.4487,                 1.0827,                 1.3006,              0.0013699,              0.0013699,              0.0013699
                     20,                 1.3629,                0.87071,                   1.19,                0.65669,                0.74664,                0.75567,                0.45036,                 1.4051,                 1.1227,                  1.285,              0.0013534,              0.0013534,              0.0013534
                     21,                 1.3639,                0.86887,                 1.1999,                 0.5951,                0.76802,                0.63677,                0.40286,                  1.342,                 1.1255,                 1.2446,              0.0013369,              0.0013369,              0.0013369
                     22,                 1.3567,                0.86041,                 1.1802,                0.45833,                0.60923,                0.46929,                0.26186,                 1.4504,                 1.5055,                 1.2984,              0.0013204,              0.0013204,              0.0013204
                     23,                 1.3924,                0.88237,                 1.2033,                0.85982,                0.56723,                0.74585,                0.49785,                 1.3738,                 1.5312,                 1.2633,              0.0013039,              0.0013039,              0.0013039
                     24,                 1.3234,                0.86184,                 1.1698,                0.73836,                0.63767,                0.73388,                0.49278,                 1.3306,                 1.3997,                 1.2479,              0.0012874,              0.0012874,              0.0012874
                     25,                 1.3759,                0.90909,                  1.224,                0.94283,                0.55068,                0.79535,                0.51733,                 1.3842,                 1.4319,                 1.3003,              0.0012709,              0.0012709,              0.0012709
                     26,                 1.3623,                0.85494,                 1.1725,                0.51872,                0.71719,                0.54462,                 0.2897,                 1.5066,                 1.1108,                 1.3235,              0.0012544,              0.0012544,              0.0012544
                     27,                 1.3115,                 0.8734,                 1.1472,                0.54143,                0.62688,                0.69235,                0.46037,                 1.3283,                 1.1621,                 1.2746,              0.0012379,              0.0012379,              0.0012379
                     28,                 1.3019,                0.77744,                 1.1551,                0.67637,                0.81709,                0.79348,                0.42811,                 1.5726,                0.99845,                 1.3664,              0.0012214,              0.0012214,              0.0012214
                     29,                 1.2676,                0.76621,                 1.1734,                0.71993,                0.69841,                0.77946,                0.50377,                 1.3945,                0.94766,                 1.2802,              0.0012049,              0.0012049,              0.0012049
                     30,                 1.2858,                0.77665,                 1.1598,                 0.8259,                0.67019,                0.74847,                0.47725,                 1.3692,                0.95669,                 1.2719,              0.0011884,              0.0011884,              0.0011884
                     31,                 1.2563,                 0.7724,                 1.1512,                0.55555,                0.69595,                 0.6963,                0.46586,                 1.3213,                0.95708,                  1.239,              0.0011719,              0.0011719,              0.0011719
                     32,                 1.2693,                0.77653,                 1.1715,                  0.707,                0.44707,                0.53502,                0.35768,                 1.3296,                 1.1837,                 1.2476,              0.0011554,              0.0011554,              0.0011554
